식품코드,식품코드명,농진청식품코드
05080,"호박씨, 조미, 볶은것",E036001000Dn
05089,"들깨, 볶은것",E0050000009n
05091,"땅콩, 말린것",E0070000001a
05102,"밤, 구운것",E0140000009f
05103,"아마씨, 볶은것",E037000B179n
05104,"아몬드, 볶은것",E0200000009n
05105,"은행, 볶은것",E0220000009n
05106,"잣, 생것",E0230000000a
05107,"치아씨, 말린것",E038000B171a
05108,"피스타치오, 볶은것",E0320000009n
06001,"가시오갈피, 순, 생것",F001000B110a
06002,"가시오갈피, 순, 데친것",F001000B119c
06004,"가지, 생것",F0030000000a
06005,"가지, 말린것",F0030000001a
06006,"가지, 데친것",F0030000009c
06007,"가지, 염절임",F003000000Ia
06008,"갓, 생것",F0040000000a
06013,"고구마, 잎, 생것",F208000B140a
06014,"고구마, 줄기, 생것",F208000B160a
06015,"고구마, 줄기, 말린것",F208000B161a
06016,"고구마, 줄기, 삶은것",F208000B169b
06017,"고들빼기, 생것",F0130000000a
06019,"고려엉겅퀴(곤드레), 재배, 말린것",F0140030001a
06025,"고사리, 생것",F0160000000a
06026,"고사리, 삶아서 말린것",F0160000003a
06027,"고사리, 데친것",F0160000009c
06028,"고수(향채), 생것",F0170000000a
06029,"고추, 꽈리고추, 생것",F0180020000a
06030,"고추, 빨간색, 생것",F018000C020a
06032,"고추, 빨간색, 말린것",F018000C021a
06037,고추장아찌,F0200000009a
06038,"고춧잎, 생것",F019000B140a
06039,"고춧잎, 데친것",F019000B149c
06040,"고추냉이, 뿌리, 생것",F021000B090a
06045,"취나물, 곰취, 생것",F0230000000a
06046,"취나물, 곰취, 데친것",F0230000009c
06048,"취나물, 곰취, 재배, 말린것",F0230020001a
06049,"공심채, 생것",F0240000000a
06050,"공심채, 데친것",F0240000009c
06055,"근대, 생것",F0270000000a
06056,"근대, 데친것",F0270000009c
06057,"김치, 갓김치",F2050010009a
06058,"김치, 고들빼기",F2050020009a
06059,"김치, 깍두기",F2050030009a
06060,"김치, 나박 김치",F2050040009a
06061,"김치, 동치미",F2050050009a
06063,"김치, 배추 김치",F2050070009a
06064,"김치, 백김치",F2050080009a
06065,"김치, 열무 김치",F2050090009a
06066,"김치, 열무 물김치",F2050100009a
06067,"김치, 유채 김치",F2050120009a
06069,"김치, 총각 김치",F2050140009a
06070,"김치, 파 김치",F2050150009a
06071,"들깻잎, 생것",F049000B140a
06072,"들깻잎, 데친것",F049000B149c
06073,"들깻잎, 찐것",F049000B149e
06077,"꽃양배추(콜리플라워), 생것",F0300000000a
06078,"꽃양배추(콜리플라워), 데친것",F0300000009c
06080,"냉이, 생것",F0330000000a
06085,"완두, 통조림",D008000000Ra
06092,"달래, 생것",F0390000000a
06096,"당근, 뿌리, 생것",F041000B090a
06097,"당근, 뿌리, 데친것",F041000B099c
06098,"더덕, 뿌리, 생것",F043000B090a
06100,"도라지, 뿌리, 생것",F044000B090a
06102,"도라지, 뿌리, 데친것",F044000B099c
06103,"도라지, 뿌리, 가루",F044000B095a
06104,"돌나물, 생것",F0450000000a
06107,"두릅, 참두릅, 생것",F0470000000a
06108,"두릅, 참두릅, 데친것",F0470000009c
06121,"마늘, 생것",F053000B060a
06124,"마늘, 말린것",F053000B061a
06125,"마늘, 동결건조",F053000B068a
06126,"풋마늘, 잎줄기, 생것",F054000B150a
06127,"마늘종, 꽃줄기, 생것",F055000B080a
06128,마늘 장아찌,F0570000009a
06129,마늘종 장아찌,F2060000009a
06134,"머위, 생것",F0620000000a
06136,"머위, 데친것",F0620000009c
06137,"머위, 삶은것",F0620000009b
06145,"무청, 조선무, 생것",F067002B140a
06146,"무, 조선무, 생것",F065002B090a
06147,"무 절임, 단무지",F060000B09Ia
06148,"무말랭이, 말린것",F071000B091a
06149,"무청, 시래기, 말린것, 삶은것",F068000B141b
06151,"무 절임, 치킨무",F069000B09Ia
06155,"물쑥, 생것",F0760000000a
06157,"미나리, 물미나리, 생것",F0770030000a
06158,"미나리, 물미나리, 데친것",F0770030009c
06159,"미나리, 물미나리, 줄기, 생것",F077003B160a
06165,"미나리, 돌미나리, 생것",F0770020000a
06166,"미나리, 돌미나리, 데친것",F0770020009c
06168,"민들레, 생것",F0780000000a
06169,"민들레, 데친것",F0780000009c
06175,"바질, 잎, 생것",F080000B140a
06178,"박, 생것, 씨 포함",F081000B040a
06179,"박고지, 말린것",F0820000001a
06186,"배추, 생것",F0870000000a
06187,"배추, 봄동, 생것",F0870030000a
06188,"배추, 얼갈이배추, 생것",F1360000000a
06189,"배추, 데친것",F0870000009c
06194,"보리, 순, 가루",F213000B115a
06196,"부추, 재래종, 생것",F0910040000a
06197,"부추, 재래종, 데친것",F0910040009c
06198,"부추, 호부추, 생것",F0910050000a
06200,"브로콜리, 생것",F0920000000a
06201,"브로콜리, 데친것",F0920000009c
06202,"브로콜리, 삶은것",F0920000009b
06203,"개비름, 생것",F0930000000a
06204,"개비름, 데친것",F0930000009c
06206,"비타민채(다채), 생것",F0940000000a
06207,"비트, 잎, 생것",F095000B140a
06209,"비트, 뿌리, 생것",F095000B090a
06210,"비트, 뿌리, 데친것",F095000B099c
06211,"비트 피클, 통조림",F096000B09Ra
06214,"산마늘(명이나물), 생것",F098000B150a
06223,"상추, 반결구, 로메인, 녹색, 생것",F1010032490a
06227,"생강, 뿌리줄기, 생것",F102000B100a
06229,생강 피클,F104000000Ja
06230,"생강, 편강, 당조림",F1950000009q
06234,"갯나물, 세발나물, 생것",F1060000000a
06235,"셀러리, 생것",F1070000000a
06241,"숙주나물, 생것",F1120000000a
06242,"숙주나물, 데친것",F1120000009c
06248,"순무, 뿌리, 염절임",F113000B09Ia
